date,David Bellemere,Greg Kadel,Karl Templer,Patrick Demarchelier,Seth Sabal,Nicholas Kettle,Paul Haggis,Terdema Ussery,T.J. Miller,Eric Weinberger,Michael Feinberg,Philip Berk,David Sawyer,John Moore,Jorge Domínguez,Jorge I. Domínguez,Blake Farenthold,Duane Hall,Johnny Iuzzini,Tony Tooke
2019-03-17,0.04,0.0,0.00336,0.01,0.0,0.0,0.04285714285714286,0.0,0.02,0.0,0.0,0.015151515151515152,0.02016,0.3469387755102041,0.005600000000000001,0.0,0.0,0.0011200000000000001,0.0,0.0011200000000000001
2019-03-24,0.07,0.0011200000000000001,0.00336,0.03,0.0,0.0,0.014285714285714285,0.0,0.02,0.0,0.0011200000000000001,0.015151515151515152,0.011200000000000002,0.3469387755102041,0.0044800000000000005,0.0,0.0,0.0044800000000000005,0.0,0.0
2019-03-31,0.02,0.00336,0.0044800000000000005,0.01,0.0,0.0,0.014285714285714285,0.0,0.03,0.0,0.0044800000000000005,0.015151515151515152,0.01456,0.3673469387755102,0.011200000000000002,0.0,0.0,0.0011200000000000001,0.0,0.0
2019-04-07,0.01,0.0,0.0011200000000000001,0.01,0.0,0.0,0.02857142857142857,0.0,0.03,0.0,0.008960000000000001,0.015151515151515152,0.011200000000000002,0.5510204081632653,0.01008,0.0,0.0,0.0044800000000000005,0.01,0.0
2019-04-14,0.02,0.0011200000000000001,0.0011200000000000001,0.02,0.0,0.0,0.02857142857142857,0.0,0.02,0.0,0.005600000000000001,0.045454545454545456,0.0168,0.3877551020408163,0.00336,0.0,0.0,0.0044800000000000005,0.01,0.0
2019-04-21,0.01,0.005600000000000001,0.0011200000000000001,0.02,0.0,0.0,0.014285714285714285,0.0,0.02,0.0,0.0044800000000000005,0.030303030303030304,0.01008,0.46938775510204084,0.007840000000000001,0.0,0.0,0.005600000000000001,0.0,0.0
2019-04-28,0.02,0.0011200000000000001,0.0011200000000000001,0.01,0.0,0.0,0.014285714285714285,0.0,0.03,0.0,0.0044800000000000005,0.015151515151515152,0.015680000000000003,0.42857142857142855,0.005600000000000001,0.0,0.0,0.0044800000000000005,0.0,0.0
2019-05-05,0.01,0.0011200000000000001,0.0044800000000000005,0.02,0.0,0.0,0.04285714285714286,0.0,0.03,0.0,0.00336,0.015151515151515152,0.015680000000000003,0.3469387755102041,0.01008,0.0012431999999999999,0.0,0.0044800000000000005,0.0,0.0011200000000000001
2019-05-12,0.0,0.00336,0.00336,0.01,0.0012431999999999999,0.0,0.02857142857142857,0.0,0.02,0.0,0.005600000000000001,0.015151515151515152,0.015680000000000003,0.3877551020408163,0.00672,0.0,0.0,0.0044800000000000005,0.0,0.0
2019-05-19,0.01,0.0,0.005600000000000001,0.01,0.0,0.0,0.02857142857142857,0.0,0.03,0.0,0.0044800000000000005,0.015151515151515152,0.01344,0.3469387755102041,0.00336,0.0,0.0,0.0044800000000000005,0.0,0.0
2019-05-26,0.01,0.0044800000000000005,0.0011200000000000001,0.01,0.0,0.0,0.02857142857142857,0.0,0.04,0.0,0.0,0.015151515151515152,0.015680000000000003,0.3673469387755102,0.015680000000000003,0.0,0.0,0.00336,0.0,0.0
2019-06-02,0.01,0.005600000000000001,0.0011200000000000001,0.01,0.0,0.0,0.02857142857142857,0.0,0.02,0.0,0.005600000000000001,0.015151515151515152,0.012320000000000001,0.3673469387755102,0.011200000000000002,0.0,0.0,0.005600000000000001,0.0,0.0011200000000000001
2019-06-09,0.01,0.00336,0.0,0.01,0.0,0.0,0.02857142857142857,0.0,0.02,0.0,0.00336,0.030303030303030304,0.015680000000000003,0.3877551020408163,0.00672,0.0,0.0,0.0011200000000000001,0.0,0.0
2019-06-16,0.02,0.0,0.0011200000000000001,0.01,0.0,0.0,0.04285714285714286,0.0,0.02,0.0,0.00672,0.015151515151515152,0.011200000000000002,0.32653061224489793,0.005600000000000001,0.0,0.0,0.005600000000000001,0.0,0.0
2019-06-23,0.01,0.0,0.0,0.01,0.0,0.0,0.02857142857142857,0.0,0.04,0.0,0.0044800000000000005,0.015151515151515152,0.0044800000000000005,0.32653061224489793,0.0044800000000000005,0.0,0.0,0.005600000000000001,0.01,0.0
2019-06-30,0.01,0.00336,0.0,0.01,0.0,0.0,0.02857142857142857,0.0,0.02,0.0,0.0,0.015151515151515152,0.01456,0.30612244897959184,0.005600000000000001,0.0,0.0,0.008960000000000001,0.0,0.0
2019-07-07,0.01,0.0,0.0,0.01,0.0,0.0,0.02857142857142857,0.0,0.03,0.0,0.0011200000000000001,0.015151515151515152,0.01904,0.32653061224489793,0.008960000000000001,0.0,0.0,0.005600000000000001,0.0,0.0
2019-07-14,0.01,0.005600000000000001,0.0011200000000000001,0.02,0.0,0.0,0.014285714285714285,0.0,0.03,0.0,0.0044800000000000005,0.030303030303030304,0.011200000000000002,0.30612244897959184,0.008960000000000001,0.0,0.0,0.005600000000000001,0.0,0.0
